"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 31 14:16:40 MSK 2021","Sat Jul 31 14:16:41 MSK 2021","521","","Проверка рейтинга котов","","Проверка рейтинга котов","Проверка сортировки дизлайков в рейтинге","Проверка сортировки дизлайков в рейтинге",""
"passed","Sat Jul 31 14:16:39 MSK 2021","Sat Jul 31 14:16:40 MSK 2021","1465","","Проверка рейтинга котов","","Проверка рейтинга котов","Проверка сортировки лайков в рейтинге","Проверка сортировки лайков в рейтинге",""
